rating,code,nine_forreturn,name,nine_forPE,title,agency,eight_forreturn,eight_forPE,num,date,ratchange
买入,600893.SH,0.5,航发动力,52.29,期间费用明显改善，毛利下滑拖累业绩释放,华泰证券,,,维持,2019-04-02T18:47:15,维持
买入,601636.SH,0.5,旗滨集团,8.7,转型升级成效初显，竣工改善首推品种,华泰证券,,,维持,2019-04-02T18:50:17,维持
买入,600958.SH,0.38,东方证券,31,自营表现不佳，关注业绩高弹性,华泰证券,,,维持,2019-04-02T18:51:14,维持
增持,300127.SZ,0.55,银河磁体,23.36,汽车粘结磁体销量稳增，新品突破放量,华泰证券,,,维持,2019-04-02T18:53:31,维持
增持,601818.SH,0.65,光大银行,6.3,2018年报点评：ROA小幅回升,国信证券,,,维持,2019-04-02T18:56:50,维持
增持,600016.SH,1.19,民生银行,5.3,2018年报点评：不良偏离度问题解决,国信证券,,,维持,2019-04-02T18:57:26,维持
买入,000513.SZ,1.74,丽珠集团,20.7,2018年年报点评：收入结构改善，研发布局加速,国信证券,,,维持,2019-04-02T19:00:53,维持
买入,600055.SH,0.38,万东医疗,38,万东医疗跟踪报告：DSA和MRI新品上市，强化影像国产替代,国元证券,0.28,51,维持,2019-04-02T19:04:53,维持
买入,600600.SH,1.26,青岛啤酒,32.58,推进产能整合，调结构取得成效,华泰证券,,,维持,2019-04-02T19:04:53,维持
买入,600125.SH,0.45,铁龙物流,19.03,年报点评：受益清算改革，业绩高增长,华泰证券,,,维持,2019-04-02T19:12:34,维持
买入,603200.SH,1.44,上海洗霸,26.23,18业绩同比+39%，高增长如期兑现,华泰证券,,,维持,2019-04-02T19:14:05,维持
买入,000402.SZ,1.22,金融街,7.03,重启新成长，尽享资产证券化机遇,华泰证券,,,维持,2019-04-02T19:16:18,维持
买入,601111.SH,0.81,中国国航,12.38,年报点评：业绩超预期，供给受限，维持买入,华泰证券,,,维持,2019-04-02T19:16:19,维持
中性,000789.SZ,1.97,万年青,7.51,盈利新高，供需存压,华泰证券,,,调低,2019-04-02T19:17:57,调低
买入,601633.SH,0.66,长城汽车,12.18,步入双重上升通道，兼具“价值+弹性”属性（太平洋汽车2019年战略推荐）,太平洋,,,维持,2019-04-02T19:20:50,维持
增持,300457.SZ,1.16,赢合科技,22.4,赢合科技年报点评：客户结构优化，经营质量提升，有望受益新一轮动力电池产能扩建,新时代,,,维持,2019-04-02T19:21:02,维持
增持,002460.SZ,0.91,赣锋锂业,29,锂盐项目持续扩产，价跌影响盈利水平,华泰证券,,,维持,2019-04-02T19:22:31,维持
买入,002202.SZ,0.98,金风科技,14,金风科技年报点评——龙头地位稳固 毛利拐点将至,太平洋,,,维持,2019-04-02T19:25:00,维持
增持,600908.SH,0.65,无锡银行,,扩规模提业绩，资产质量持续改善,太平洋,,,维持,2019-04-02T19:25:56,维持
买入,002601.SZ,1.6,龙蟒佰利,10,钛白粉销量创单月历史新高，行业龙头拥抱高景气周期,太平洋,1.13,14.6,维持,2019-04-02T19:43:26,维持
买入,601238.SH,1.22,广汽集团,9.7,【联讯汽车年报点评】广汽集团：日系表现靓丽，期待自主复苏,联讯证券,,,维持,2019-04-02T19:46:57,维持
买入,002672.SZ,0.66,东江环保,18.96,业绩合乎预期，看好异地扩张潜力,华泰证券,,,维持,2019-04-02T19:47:33,维持
增持,300003.SZ,0.9,乐普医疗,27,业绩持续高增长，可降解支架值得期待,国联证券,,,维持,2019-04-02T19:50:08,维持
买入,300020.SZ,0.28,银江股份,34.67,一季度业绩有所提升，新订单拉动公司业绩,太平洋,0.04,256.28,调高,2019-04-02T19:52:21,调高
买入,002019.SZ,0.9,亿帆医药,15,业绩符合预期，股权激励激发中长期发展动力,太平洋,,,维持,2019-04-02T19:53:08,维持
买入,300457.SZ,1.22,赢合科技,21,业绩增长符合预期，经营质量不断提高,太平洋,,,维持,2019-04-02T19:54:23,维持
增持,000429.SZ,0.7,粤高速A,13.07,年报点评：业绩符合预期，通行费稳健增长,华泰证券,,,维持,2019-04-02T19:59:24,维持
买入,601688.SH,0.78,华泰证券,29.27,混改定增激发改革活力，自营拖累业绩低于预期,山西证券,,,维持,2019-04-02T20:03:37,维持
买入,300457.SZ,1.06,赢合科技,24,公司动态点评：客户结构持续优化，受益于动力电池产能扩张,长城证券,,,维持,2019-04-02T20:25:48,维持
增持,600008.SH,0.16,首创股份,26.73,2018年年报点评：业绩实现稳定增长，多元化融资助力扩张,首创证券,,,维持,2019-04-02T20:26:36,维持
增持,002466.SZ,1.65,天齐锂业,21.26,公司动态点评：业绩符合预期 收购SQM向全球锂盐巨头迈进,长城证券,,,维持,2019-04-02T20:30:00,维持
增持,300045.SZ,0.253,华力创通,43.41,公司动态点评：主营业务多点开花，业绩向好表现亮眼,长城证券,,,维持,2019-04-02T20:30:01,维持
增持,002371.SZ,0.74,北方华创,95,公司动态点评：一季度业绩增长符合预期，国产半导体设备龙头持续增长可期,长城证券,0.5,140,维持,2019-04-02T20:33:32,维持
买入,002142.SZ,2.47,宁波银行,8.99,净息差继续提升，资产质量优于同业,中国银河,,,首次,2019-04-02T20:35:52,首次
买入,600398.SH,0.9,海澜之家,11.05,2018年报点评：收入稳健增长，多品牌矩阵发展可期,中国银河,,,维持,2019-04-02T20:37:21,维持
增持,002242.SZ,1.1,九阳股份,21,预收款项大幅上升，公司业绩改善,中国银河,,,首次,2019-04-02T20:38:32,首次
买入,000063.SZ,1.11,中兴通讯,26,凤凰涅槃，振翅高飞,中国银河,,,首次,2019-04-02T20:42:12,首次
增持,601800.SH,1.32,中国交建,9.7,年报点评报告：业绩稳健增长，聚焦高质量发展,新时代,,,维持,2019-04-02T20:49:49,维持
买入,600373.SH,1.31,中文传媒,11.29,年报点评：业绩符合预期，新游戏即将上线有望提升业绩增长弹性,新时代,,,维持,2019-04-02T20:50:49,维持
增持,601828.SH,1.43,美凯龙,9.12,商场智慧升级，产业链服务增加,国联证券,,,维持,2019-04-02T20:55:46,维持
买入,002142.SZ,2.42,宁波银行,9.19,差异化经营累积比较优势，客户下沉提升未来发展潜力,平安证券,,,维持,2019-04-02T20:56:32,维持
增持,600583.SH,0.15,海油工程,,2018年报点评：Q4业绩回升显著，新签重大合同，利润增长可期,光大证券,,,维持,2019-04-02T21:00:58,维持
增持,002466.SZ,1.83,天齐锂业,18.81,锂价持续下行，成本优势支撑公司盈利能力,上海证券,,,首次,2019-04-02T21:04:42,首次
增持,002165.SZ,0.14,红宝丽,35.7,环丙项目试运行成功，业绩拐点已至,上海证券,,,首次,2019-04-02T21:04:56,首次
增持,600741.SH,2.53,华域汽车,8,2018年年报点评：业绩平稳，积极推动智能互联、新能源业务,上海证券,,,维持,2019-04-02T21:04:56,维持
买入,603605.SH,1.857,珀莱雅,37,一八年保持高速增长，给予推荐,中国银河,,,首次,2019-04-02T21:07:53,首次
买入,002179.SZ,1.49,中航光电,26,加强研发投入，业绩稳步提升,信达证券,,,维持,2019-04-02T21:10:03,维持
买入,600373.SH,,中文传媒,11.25,2018年年报点评：公司整体业绩稳健，期待2019年新游表现,中国银河,,,首次,2019-04-02T21:28:00,首次
增持,000726.SZ,0.81,鲁泰A,12.86,2018年报点评：海外产能释放提高生产力，非经营损益影响净利润,中国银河,,,首次,2019-04-02T21:28:03,首次
买入,601766.SH,0.49,中国中车,19,动车高级修业务进入增长通道，将推动公司业绩稳健增长,中国银河,,,维持,2019-04-02T21:31:35,维持
买入,603877.SH,1.23,太平鸟,16.55,2018年报点评：TOC效果初步显现，业务稳健增长,中国银河,,,首次,2019-04-02T21:33:12,首次
,000002.SZ,,万科A,,万科2018年年报点评：业绩稳步增长，多元化业务奠定转型基础,首创证券,,,,2019-04-02T21:35:29,
增持,002007.SZ,1.53,华兰生物,29,血制品拐点确立，疫苗表现靓丽,国联证券,,,维持,2019-04-02T21:36:59,维持
买入,002410.SZ,0.452,广联达,65.97,造价业务云转型纵深推进，施工业务板块多点开花,长城国瑞证券,,,维持,2019-04-02T21:38:07,维持
买入,002541.SZ,0.97,鸿路钢构,9.46,产能如期释放，经营性现金流亮眼,华泰证券,,,维持,2019-04-02T23:04:38,维持
增持,600456.SH,0.47,宝钛股份,50.52,钛材量价齐升，业绩大幅增加,华泰证券,,,维持,2019-04-02T23:07:52,维持
买入,300003.SZ,0.93,乐普医疗,29,业绩增长稳健，符合预期,华泰证券,,,维持,2019-04-02T23:10:34,维持
买入,002007.SZ,1.48,华兰生物,33,血制品稳健增长，“疫苗+单抗”打开成长天花板,东方证券,,,维持,2019-04-02T23:19:25,维持
买入,600519.SH,33.01,贵州茅台,28,茅台酒量增喜人业绩略超预期，19年规划积极再踏新征程,东方证券,,,维持,2019-04-02T23:23:31,维持
增持,002024.SZ,0.15,苏宁易购,82.58,2018年报点评：线下加速展店，线上增速较快,东方财富证券,,,维持,2019-04-02T00:29:18,维持
增持,600570.SH,1.74,恒生电子,50.4,恒生电子年报点评：营收同比增长22.38%，内外多重因素叠加驱动业务成长,新时代,,,维持,2019-04-02T07:32:29,维持
买入,002373.SZ,0.69,千方科技,35,一季报预计快速增长，交通及安防业务持续向好,广证恒生,0.52,,维持,2019-04-02T07:38:34,维持
买入,600352.SH,,浙江龙盛,,苏北园区爆炸影响供给，间苯二胺-间苯二酚-染料涨价增厚业绩,太平洋,,,维持,2019-04-02T07:52:11,维持
增持,600570.SH,1.36,恒生电子,64,内部管理提升、外部双轮驱动，走上生态化扩张之路,国金证券,,,维持,2019-04-02T07:54:27,维持
买入,600570.SH,1.41,恒生电子,62.15,点评报告：公司人员效率显著提升，海外业务高速增长,广证恒生,,,维持,2019-04-02T07:54:57,维持
买入,002861.SZ,0.92,瀛通通讯,27.7,垂直整合布局缜密，TWS耳机成公司成长新动力,国盛证券,0.53,48.3,首次,2019-04-02T07:57:12,首次
买入,603313.SH,1.53,梦百合,25,盈利能力显著回升，内销业务或将放量,西南证券,,,维持,2019-04-02T08:03:27,维持
增持,000922.SZ,0.84,佳电股份,11,业绩表现靓丽，盈利能力提升,西南证券,,,首次,2019-04-02T08:10:55,首次
增持,600837.SH,0.64,海通证券,21.78,投资业务拖累业绩，持续转型主动管理,信达证券,,,维持,2019-04-02T08:23:19,维持
买入,300274.SZ,0.87,阳光电源,12.7,业绩符合预期，看好逆变器与EPC高增长,中信建投,,,维持,2019-04-02T09:07:42,维持
买入,300724.SZ,1.04,捷佳伟创,32.6,业绩符合预期，高效电池研发稳步推进,中信建投,,,维持,2019-04-02T09:09:44,维持
买入,002624.SZ,,完美世界,,《完美世界》首月超预期，全年影游储备充足业绩稳增长无虞,中信建投,,,维持,2019-04-02T09:10:03,维持
买入,002798.SZ,,帝欧家居,18.6,瓷砖持续快速增长，卫浴工装放量可期,中信建投,,,维持,2019-04-02T09:16:04,维持
增持,600837.SH,0.57,海通证券,24.68,年报点评：经纪自营表现较弱，多元化国际化稳步推进,万联证券,,,维持,2019-04-02T09:16:25,维持
增持,600546.SH,0.39,山煤国际,10,2018年财报点评：逐步甩掉历史包袱 期待业绩释放,东兴证券,,,首次,2019-04-02T09:25:34,首次
买入,600066.SH,1.11,宇通客车,12.51,年报点评：后补贴时代，龙头市占率有望提升,太平洋,,,维持,2019-04-02T09:25:48,维持
买入,300609.SZ,0.94,汇纳科技,50.4,零售大数据领军成长加速，“汇客云”数据服务产品爆发在即,国盛证券,,,维持,2019-04-02T09:26:27,维持
买入,000065.SZ,0.91,北方国际,14,业绩稳增符合预期，盈利能力持续提升,国盛证券,,,维持,2019-04-02T09:28:38,维持
买入,002791.SZ,0.8,坚朗五金,16,五金龙头，平台规模效应初现,国盛证券,0.5,26,首次,2019-04-02T09:29:54,首次
买入,000818.SZ,1.01,航锦科技,12,公司点评：自主可控高性能图形处理芯片进入量产推广阶段，未来订单可期,太平洋,0.73,17,维持,2019-04-02T09:30:54,维持
买入,002024.SZ,0.43,苏宁易购,29.4,苏宁易购年报点评：线下门店扩张提速，智慧零售生态布局加速成长,新时代,,,维持,2019-04-02T09:36:26,维持
买入,600438.SH,0.82,通威股份,20,Q1超预期，高景气开启,东吴证券,0.53,,维持,2019-04-02T09:40:54,维持
买入,300630.SZ,1.92,普利制药,40,业绩持续高增长，注射剂国际化逻辑将逐步兑现,国盛证券,,,维持,2019-04-02T09:42:20,维持
买入,002567.SZ,0.73,唐人神,18.06,2019Q1业绩符合预期，预计全年继续保持高速增长！,天风证券,0.16,81,维持,2019-04-02T09:46:49,维持
买入,002705.SZ,0.78,新宝股份,16.7,汇兑同比显著改善，新业务显著拉动增长,天风证券,0.63,20.6,维持,2019-04-02T09:48:00,维持
买入,603997.SH,0.51,继峰股份,19.1,收购调整方案落地 加速并购格拉默推进协同成长,天风证券,,,维持,2019-04-02T10:04:20,维持
买入,300248.SZ,0.27,新开普,37.41,运维收费模式打开，等待政策刺激落地,天风证券,,,维持,2019-04-02T10:04:35,维持
买入,000418.SZ,3.2,小天鹅A,17.81,收入增速环比恢复，现金+结构性存款超过160亿,天风证券,,,维持,2019-04-02T10:06:00,维持
增持,002123.SZ,0.49,梦网集团,28,推进区块链方案，云通信龙头再次夯实产品竞争力,天风证券,0.1,144.58,维持,2019-04-02T10:06:25,维持
增持,300274.SZ,0.74,阳光电源,16.42,收入稳定增长，储能将迎爆发,东北证券,,,维持,2019-04-02T10:09:02,维持
买入,002798.SZ,1.27,帝欧家居,24,2018年报点评：欧神诺并表业绩亮眼，看好未来协同发展,华创证券,,,维持,2019-04-02T10:11:17,维持
买入,300724.SZ,1.25,捷佳伟创,27,2018年报点评：在手订单饱满，高增长延续,东兴证券,,,维持,2019-04-02T10:11:50,维持
增持,300724.SZ,1.3,捷佳伟创,26,受益高效电池技术迭代，业绩保持稳定增长,财富证券,,,首次,2019-04-02T10:32:26,首次
买入,600754.SH,1.15,锦江股份,24.1,2018年年报点评：业绩基本符合预期，短跟RevPAR长看激励&整合优化,国信证券,,,维持,2019-04-02T10:41:41,维持
买入,300724.SZ,1.38,捷佳伟创,24.5,2018年年报及一季度业绩预告点评：电池设备龙头，19年亮点可期,国信证券,,,维持,2019-04-02T10:42:30,维持
买入,002791.SZ,0.83,坚朗五金,17.2,建筑五金专家，渠道布局渐入收获期,国信证券,0.54,26.5,首次,2019-04-02T10:43:13,首次
买入,603038.SH,1.01,华立股份,19.7,2018Q4业绩增速提升，饰板业务实现快速突破,华金证券,,,维持,2019-04-02T10:47:32,维持
买入,300007.SZ,0.44,汉威科技,32,2018年报点评：物联网渐行渐近，传感器龙头整装待发,国信证券,,,首次,2019-04-02T10:47:47,首次
买入,600801.SH,3.89,华新水泥,5.9,2018年年报点评：业绩大幅增长，产业链全面发展,国信证券,,,维持,2019-04-02T10:48:44,维持
增持,600570.SH,1.38,恒生电子,63.46,2018年报点评：费用控制提升净利润率，增量业务红利值得期待,东方财富证券,,,维持,2019-04-02T10:50:31,维持
买入,300014.SZ,1.06,亿纬锂能,25.24,动态点评：一季度业绩超预期 锂电新龙头发展正加速,东方财富证券,0.67,40.17,调高,2019-04-02T10:51:24,调高
增持,002110.SZ,1.91,三钢闽光,8.6,2018年年报点评：业绩创新高，分红超预期,国信证券,,,维持,2019-04-02T10:52:18,维持
买入,603313.SH,1.49,梦百合,22,内外销高速增长，业绩符合预期,东北证券,,,维持,2019-04-02T10:54:58,维持
买入,600438.SH,0.83,通威股份,20,产能释放叠加成本优化兑现业绩高增长,国金证券,0.54,,维持,2019-04-02T11:01:56,维持
买入,601881.SH,0.35,中国银河,30.39,千万客户造就经纪王者，资管主动占比提高,山西证券,,,维持,2019-04-02T11:03:45,维持
买入,002798.SZ,1.35,帝欧家居,17.7,2018年年报点评：增收增利，看好未来成长性,国信证券,,,维持,2019-04-02T11:09:00,维持
买入,300630.SZ,1.92,普利制药,40,业绩靓丽，2019期待新品种放量,中泰证券,,,维持,2019-04-02T11:13:30,维持
买入,600352.SH,1.58,浙江龙盛,12,【联讯化工】浙江龙盛-中间体原料战略性控制地位价值凸显，有望持续受益染料价格上涨,联讯证券,,,首次,2019-04-02T13:07:46,首次
增持,600029.SH,0.62,南方航空,14,2018年报点评：油汇拖累业绩表现，非油成本管理出色,东方财富证券,,,首次,2019-04-02T13:19:14,首次
增持,002117.SZ,0.93,东港股份,21,与深圳壹账通战略合作，区块链合作继续推进,申万宏源,,,维持,2019-04-02T13:20:04,维持
增持,600131.SH,0.27,岷江水电,69,福堂电站投资收益稳步增长 期待资产注入落地,申万宏源,,,维持,2019-04-02T13:22:15,维持
买入,600486.SH,3.33,扬农化工,19,完整产业链继续发挥优势，远期成长看好,安信证券,,,维持,2019-04-02T13:22:27,维持
买入,002123.SZ,0.62,梦网集团,22.5,云通信和区块链结合，新兴应用场景有望落地,安信证券,0.1,144.5,维持,2019-04-02T13:22:48,维持
增持,603383.SH,1.19,顶点软件,85.4,业务稳步发展，预收款同比减少,安信证券,,,首次,2019-04-02T13:22:57,首次
增持,000089.SZ,0.48,深圳机场,20.8,业绩低于预期，非航招标值得期待,华泰证券,,,维持,2019-04-02T13:32:11,维持
增持,600066.SH,0.92,宇通客车,15.16,销量下滑、补贴退坡影响公司业绩,华泰证券,,,维持,2019-04-02T13:34:01,维持
买入,600438.SH,0.91,通威股份,14.6,一季报预喜符合预期，盈利弹性有望释放,中银国际,0.53,25.2,维持,2019-04-02T13:38:49,维持
买入,600352.SH,1.88,浙江龙盛,10,2018年业绩符合预期，2019年中间体业务将贡献更多业绩,西南证券,,,维持,2019-04-02T13:42:00,维持
增持,600837.SH,0.64,海通证券,,卓越推：海通证券,信达证券,,,维持,2019-04-02T13:46:46,维持
增持,300284.SZ,0.92,苏交科,,卓越推：苏交科,信达证券,0.75,,维持,2019-04-02T13:50:45,维持
买入,600438.SH,0.88,通威股份,15.19,通威股份2019年一季度业绩预告点评：Q1业绩预期增长稳健，Q2-Q4产能有望迎来完全释放,浙商证券,0.54,24.96,维持,2019-04-02T14:02:49,维持
买入,600438.SH,0.79,通威股份,,卓越推：通威股份,信达证券,0.53,,,2019-04-02T14:03:19,
增持,600837.SH,0.64,海通证券,22.52,2018年年报点评：投资业务拖累业绩、国际业务成绩喜人,中原证券,,,维持,2019-04-02T14:17:44,维持
买入,300014.SZ,0.99,亿纬锂能,27,2019年一季度业绩预告点评：业绩持续超预期，动力电池和电子烟业务快速增长,华创证券,0.67,40,维持,2019-04-02T14:17:44,维持
买入,300348.SZ,0.47,长亮科技,47.3,中标首批虚拟银行系统，有望享受大湾区金融科技红利,国盛证券,0.17,132.9,维持,2019-04-02T14:21:36,维持
买入,600023.SH,0.41,浙能电力,,卓越推：浙能电力,信达证券,0.38,,维持,2019-04-02T14:32:02,维持
买入,000969.SZ,0.15,安泰科技,45.1,减负前行，有望受益于氢能时代临近,安信证券,,,首次,2019-04-02T14:42:19,首次
增持,600754.SH,1.33,锦江股份,20.3,铂涛盈利能力增强，维也纳收入利润双增,国联证券,,,维持,2019-04-02T15:15:50,维持
买入,300248.SZ,0.32,新开普,29,2018年年报和2019年一季度业绩预告点评：业务融合创新19Q业绩反转，阿里入股再添发展良机,光大证券,,,维持,2019-04-02T15:33:46,维持
买入,600987.SH,1.02,航民股份,11,2018年报点评：印染主业量价齐升，双主业龙头扬帆起航,光大证券,,,维持,2019-04-02T15:35:33,维持
增持,002024.SZ,1.7,苏宁易购,7,业绩稳步提升，智慧苏宁引领零售新时代,西南证券,,,首次,2019-04-02T15:36:36,首次
买入,600745.SH,0.98,闻泰科技,33.6,安世整合启新起点，双翼助力WingTech腾飞,中泰证券,0.1,329.58,首次,2019-04-02T15:37:52,首次
买入,600987.SH,1.02,航民股份,10.3,印染收入业绩双位数增长，优质资产注入，双主业强者恒强,中信建投,,,维持,2019-04-02T15:38:44,维持
买入,002624.SZ,1.5,完美世界,21.24,19Q1业绩预告点评：利润29%中线增速体现良好态势，重磅手游首月流水超预期具备弹性空间,天风证券,1.23,25.99,维持,2019-04-02T15:42:48,维持
买入,600352.SH,1.57,浙江龙盛,12.1,2018年年报点评：安全生产构筑壁垒，全年业绩创新高,国信证券,,,维持,2019-04-02T15:52:12,维持
买入,600352.SH,1.83,浙江龙盛,10.3,全年业绩符合预期，一体化龙头优势凸显,东北证券,,,维持,2019-04-02T15:52:33,维持
买入,002798.SZ,1.31,帝欧家居,19.8,瓷砖工装持续增长，卫浴协同有望体现,中银国际,,,维持,2019-04-02T16:16:50,维持
买入,600352.SH,1.82,浙江龙盛,10.4,染料价格继续走高，中间体业务已成盈利重要支柱,中银国际,,,维持,2019-04-02T16:17:43,维持
买入,300274.SZ,0.8,阳光电源,15,海外逆变器高增， 储能业务发力,中泰证券,,,维持,2019-04-02T16:26:15,维持
买入,300014.SZ,1.02,亿纬锂能,26,业绩超预期，持续加码软包动力,中泰证券,0.67,40.2,维持,2019-04-02T16:27:28,维持
增持,600546.SH,0.49,山煤国际,10,扣非净利改善明显，期待业绩释放,安信证券,,,维持,2019-04-02T16:37:37,维持
买入,600352.SH,1.84,浙江龙盛,10.3,年报点评：染料景气向上构筑业绩基石，中间体盈利大幅提升,中原证券,,,维持,2019-04-02T17:14:12,维持
买入,603501.SH,0.35,韦尔股份,141.07,年报业绩符合预期，各项产品线进展顺利,西南证券,,,维持,2019-04-02T17:27:23,维持
买入,600711.SH,0.27,盛屯矿业,24,并购业务发力 完善新材料布局,信达证券,,,维持,2019-04-02T17:28:13,维持
增持,600027.SH,0.35,华电国际,13,火电板块量价齐升，公司业绩大幅改善,信达证券,,,维持,2019-04-02T17:29:03,维持
增持,000759.SZ,0.15,中百集团,54,毛利率持续提升，扣非归母净利润扭亏为盈,信达证券,,,维持,2019-04-02T17:29:19,维持
增持,300609.SZ,0.91,汇纳科技,52.27,业绩符合预期，云业务加速推进,天风证券,,,维持,2019-04-02T17:50:57,维持
买入,002268.SZ,0.65,卫士通,42.05,深度报告系列之六：助力网军建设，网络战争时代的反导系统,东兴证券,0.17,164.43,维持,2019-04-02T18:23:01,维持
买入,002110.SZ,2.95,三钢闽光,5.6,延续高分红，关注后续资本运作,东兴证券,,,维持,2019-04-02T18:35:14,维持
买入,300274.SZ,0.69,阳光电源,17,年报点评：光伏逆变器继续领跑，储能业务飞速增长,太平洋,,,维持,2019-04-02T18:46:13,维持
增持,601965.SH,0.52,中国汽研,22.5,年报点评：检测业务稳步增长，业绩符合预期,华泰证券,,,维持,2019-04-02T18:50:21,维持
买入,600352.SH,1.69,浙江龙盛,11,2018年报点评：业绩符合预期，公司龙头优势显著,东兴证券,,,维持,2019-04-02T19:48:23,维持
买入,002035.SZ,0.82,华帝股份,12.69,动态点评：看好地产恢复预期及新品贡献,华泰证券,0.74,13.96,维持,2019-04-02T19:49:53,维持
买入,002798.SZ,1.36,帝欧家居,19,2018年年报点评：协同效应初显，业绩增长持续,东兴证券,,,维持,2019-04-02T19:56:20,维持
增持,600066.SH,1,宇通客车,14,销量下滑+新能源补贴退坡，致业绩下滑较大,财通证券,,,维持,2019-04-02T20:42:13,维持
增持,600066.SH,1.18,宇通客车,12,新能源汽车销量稳定，全年业绩符合预期,西南证券,,,维持,2019-04-02T20:45:49,维持
买入,600486.SH,3.19,扬农化工,18,年报点评报告：全年业绩靓丽，内生外延助力公司长期发展,新时代,,,维持,2019-04-02T20:47:07,维持
增持,300274.SZ,0.73,阳光电源,14.97,业绩短期承压，储能业务高速扩张,上海证券,,,维持,2019-04-02T21:02:28,维持
买入,600115.SH,0.56,东方航空,13,国际线表现亮眼，扣汇扣非业绩正增长,安信证券,,,维持,2019-04-02T23:27:55,维持
买入,600271.SH,1.08,航天信息,26,2018年报点评：扣非净利快速增长，会员制服务超预期,华创证券,,,维持,2019-04-01T11:05:59,维持
增持,002430.SZ,0.93,杭氧股份,13,2018年报点评：气体与设备业务共同增长，看好公司长期成长潜力,华创证券,,,维持,2019-04-01T11:06:41,维持
买入,002449.SZ,0.9,国星光电,22,2018年报&19年Q1业绩预告点评：受益小间距行业高景气度，一季度预告超预期,华创证券,,,维持,2019-04-01T11:08:44,维持
买入,603801.SH,2.06,志邦家居,19,深度研究报告：厨衣协同发展，“志邦全屋时代”全面起航,华创证券,1.7,23,维持,2019-04-01T11:08:51,维持
买入,002129.SZ,0.49,中环股份,24,2018年报点评：光伏及半导体硅片龙头持续兑现价值成长,华创证券,,,维持,2019-04-01T11:09:19,维持
买入,002371.SZ,0.85,北方华创,83,2019年一季报点评：业绩稳步增长，半导体设备龙头有望享受国产替代黄金期,华创证券,0.51,140,维持,2019-04-01T11:09:44,维持
买入,300244.SZ,0.79,迪安诊断,27,ICL利润大幅增长，产品+服务协同效应显著,太平洋,,,首次,2019-04-01T11:11:49,首次
增持,603868.SH,2.17,飞科电器,21.7,风物长宜放眼量，调结构成未来产品突围重点,浙商证券,,,维持,2019-04-01T11:12:09,维持
买入,300567.SZ,2.49,精测电子,33,2019Q1预计业绩中枢同比+65.8%，可转债发行强化产品布局,东吴证券,1.77,46,维持,2019-04-01T11:12:32,维持
增持,300357.SZ,1.04,我武生物,46,收入增长稳定，国内脱敏龙头地位稳固,西南证券,,,维持,2019-04-01T11:14:50,维持
买入,600073.SH,0.46,上海梅林,,上海梅林：加大牛肉布局，养猪释放弹性,太平洋,,,维持,2019-04-01T11:14:50,维持
买入,002430.SZ,0.98,杭氧股份,12.25,业绩持续高增长，气体规模快速扩张,太平洋,,,维持,2019-04-01T11:15:02,维持
买入,300476.SZ,0.72,胜宏科技,19,2018年报&19年Q1业绩预告点评：18年公司业绩逆势高速增长，19年有望逐季度加速,华创证券,,,维持,2019-04-01T11:15:53,维持
买入,600073.SH,0.55,上海梅林,20,2018年报点评：聚焦肉类主业，经营稳步改善,华创证券,,,维持,2019-04-01T11:16:32,维持
买入,600027.SH,0.35,华电国际,12.1,2018年报点评：量价齐升提升业绩，预期煤价下跌展现弹性,华创证券,,,维持,2019-04-01T11:16:56,维持
买入,600029.SH,0.73,南方航空,11.8,2018年报点评：油汇高企致业绩下滑，扣非扣汇净利同比降6%，看好公司未来在大兴机场大有所为,华创证券,,,维持,2019-04-01T11:18:21,维持
增持,300144.SZ,0.95,宋城演艺,24.64,主要景区盈利能力增强，六间房超预期完成业绩承诺,山西证券,,,首次,2019-04-01T11:18:21,首次
买入,002142.SZ,2.51,宁波银行,,宁波银行：贷款增速持续提升，高拨备领先同业,太平洋,,,维持,2019-04-01T11:19:10,维持
买入,600115.SH,0.59,东方航空,11.8,2018年报点评：扣非扣汇利润实现两位数增长，看好公司多维度推进收益水平提升，强调“强推”评级,华创证券,,,维持,2019-04-01T11:20:07,维持
买入,002202.SZ,1.02,金风科技,14,招标价格企稳回升，风机业务拐点可期,中泰证券,,,维持,2019-04-01T11:20:17,维持
增持,002925.SZ,2.02,盈趣科技,28.15,非电子烟业务延续高增长，期待IQOS产线发力,中泰证券,,,调低,2019-04-01T11:21:17,调低
买入,300244.SZ,0.79,迪安诊断,27,实验室利润增长超预期，现金流大幅改善,中泰证券,,,维持,2019-04-01T11:21:35,维持
买入,600309.SH,3.63,万华化学,12.5,MDI涨价持续催化，龙头技术、园区、一体化优势长期利好,太平洋,3.38,13.5,维持,2019-04-01T11:21:35,维持
增持,601988.SH,0.64,中国银行,5.88,中国银行：资产质量好转，价值被低估,太平洋,,,首次,2019-04-01T11:21:35,首次
增持,300690.SZ,1.27,双一科技,20.09,风电机舱罩龙头，业绩拐点显现,中泰证券,,,首次,2019-04-01T11:23:27,首次
增持,601288.SH,0.6,农业银行,6.26,详细解读农业银行2018年年报：基本面稳健，低估值高股息率,中泰证券,,,维持,2019-04-01T11:25:28,维持
增持,300653.SZ,1.35,正海生物,41,正海生物2018年年报点评：主营业务持续增长，管线未来可期,国元证券,,,维持,2019-04-01T11:25:37,维持
增持,002032.SZ,2.43,苏泊尔,28.45,营收稳健增长，多元化战略延续,国联证券,,,维持,2019-04-01T11:25:58,维持
